"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
0	0	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.09	0.01	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.18	0.02	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.27	0.03	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.36	0.04	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.45	0.05	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.54	0.06	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.63	0.07	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.72	0.08	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.81	0.09	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.9	0.1	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
0.99	0.11	17.2814371257485	17.2814371257485	1	1	0.104105042926196	1	1	1443	1.79601862544232	2.98689891309367	1	0.384150634442053
1.08	0.12	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.17	0.13	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.26	0.14	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.35	0.15	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
