"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
0	0	1.18562874251497	1.18562874251497	1	1	0.00714234182237934	1	1	99	30.0575384912698	1.73420607128486	1	1
1.17	0.01	3.26946107784431	3.26946107784431	0.78742802303263	0.856481222481223	0.0196955486617127	4	1.39303482587065	273	4.3203487236739	2.86038521201945	0.376995409147749	1
2.34	0.02	5.34131736526946	5.34131736526946	0.886335658596635	0.920840158257921	0.0321766106341534	3	1.23978685612789	446	3.05465733502423	3.45042378086029	0.726488206087058	0.982807912471973
3.51	0.03	6.55089820359281	6.55089820359281	0.950627615062761	0.954648979023021	0.0394632421903182	3	1.14826498422713	547	2.72291333377097	3.47246920977056	0.871167421257937	0.985563409709728
4.68	0.04	7.17365269461078	7.17365269461078	0.955636363636364	0.958357908416157	0.0432147752687396	3	1.10746268656716	599	2.59741927464885	3.47760497765941	0.907169363327241	0.987498043308114
5.85	0.05	7.84431137724551	7.84431137724551	0.977318282519253	0.951372499603892	0.047254887814732	3	1.05370101596517	655	2.4847179963169	3.51898091110662	0.973687072055825	0.978346391616252
7.02	0.06	8.83832335329341	8.83832335329341	0.964004702903138	0.932890229264909	0.0532429117668278	3	1.23594266813671	738	2.34867624512552	3.82940386298992	0.947934551932733	0.978059967722755
8.19	0.07	9.2814371257485	9.2814371257485	0.969786981244165	0.944045447594319	0.0559122718418585	3	1.16281628162816	775	2.29710778527819	3.80900499807807	0.960192293888737	0.976463442411358
9.36	0.08	9.72455089820359	9.72455089820359	0.961715647339158	0.965473993024449	0.0585816319168891	3	1.1302475780409	812	2.25001009768244	3.9348335759204	0.935781944050123	0.975055806999938
10.53	0.09	10.0958083832335	10.0958083832335	0.965646004480956	0.96360552422585	0.0608181227905635	3	1.09978540772532	843	2.21354994138644	3.83205998827949	0.962716588956149	0.973492483248067
